"","pert_iname","mean","n","median","sd","sRGES"
"9119","BRD-K18170480",0.410374339816654,5,0.289454370085395,0.214064758767963,0.410374339816654
"9120","SA-424068",0.411054259464974,1,0.411054259464974,NA,0.411054259464974
"9121","BRD-K17181267",0.411131261700937,2,0.411131261700937,0.589014646632557,0.411131261700937
"9122","proscillaridin",0.411210379462056,21,0.535823765135902,0.32561096019956,0.411210379462056
"9123","BRD-K61082257",0.411224675279562,1,0.411224675279562,NA,0.411224675279562
"9124","tubastatin-a",0.411245415396907,35,0.505148918510135,0.361269454170053,0.411245415396907
"9125","streptozotocin",0.411316790543412,2,0.411316790543412,0.422334364446887,0.411316790543412
"9126","BRD-K15987804",0.411472093330112,1,0.411472093330112,NA,0.411472093330112
"9127","BRD-K32974773",0.411565506908737,1,0.411565506908737,NA,0.411565506908737
"9128","BRD-K37060179",0.411673647004242,3,0.282467321687304,0.386405236453774,0.411673647004242
"9129","BRD-K44766290",0.411812924959288,2,0.411812924959288,0.533342640342818,0.411812924959288
"9130","BRD-K24282403",0.411812924959288,1,0.411812924959288,NA,0.411812924959288
"9131","diflunisal",0.412083661709056,2,0.412083661709056,0.0197881270618803,0.412083661709056
"9132","BRD-K08266813",0.412238964495757,2,0.412238964495757,0.305955030237329,0.412238964495757
"9133","CO-101244",0.41229668147729,4,0.496183866208033,0.754172404318512,0.41229668147729
"9134","BRD-K18761689",0.412467097291878,4,0.4252056794323,0.417788713429195,0.412467097291878
"9135","BRD-K81397638",0.412645640412263,3,0.46881390593047,0.399596318912537,0.412645640412263
"9136","BRD-K18493795",0.412711710821538,2,0.412711710821538,0.725357058885328,0.412711710821538
"9137","BRD-K85763971",0.41275841761085,1,0.41275841761085,NA,0.41275841761085
"9138","BRD-K19642661",0.412882126636126,2,0.412882126636126,0.364332533248842,0.412882126636126
"9139","BRD-K70052069",0.413020948689287,2,0.413020948689287,0.288335942381542,0.413020948689287
"9140","antimycin-a",0.413024699753502,26,0.519019585362771,0.4224426050844,0.413024699753502
"9141","ST-019366",0.413134559232346,6,0.448211814401626,0.248516746240742,0.413134559232346
"9142","BRD-K99224100",0.413176251475988,1,0.413176251475988,NA,0.413176251475988
"9143","BRD-K45882653",0.413269665054613,1,0.413269665054613,NA,0.413269665054613
"9144","BRD-K75051049",0.413319176364816,4,0.550564733097729,0.485924806582197,0.413319176364816
"9145","BRD-K09584843",0.413346667290576,1,0.413346667290576,NA,0.413346667290576
"9146","CAY-10470",0.413395541539163,11,0.692776730371076,0.491089759188377,0.413395541539163
"9147","BRD-K09964242",0.413478581987182,2,0.413478581987182,0.61075948749671,0.413478581987182
"9148","olvanil",0.413838551114376,9,0.4766530334015,0.319079148633158,0.413838551114376
"9149","BRD-K08477148",0.413989829430945,2,0.413989829430945,0.213825312781562,0.413989829430945
"9150","BRD-K42678365",0.414469483113282,2,0.414469483113282,0.664664244638799,0.414469483113282
"9151","BRD-K75381775",0.414709993807277,1,0.414709993807277,NA,0.414709993807277
"9152","MW-A1-6",0.414749488752556,4,0.412832310838446,0.266758234017597,0.414749488752556
"9153","BRD-K41571462",0.414752597760924,4,0.569106721823637,0.51569832928274,0.414752597760924
"9154","BRD-K48679006",0.414792092706203,1,0.414792092706203,NA,0.414792092706203
"9155","BRD-K32231531",0.414803407385901,1,0.414803407385901,NA,0.414803407385901
"9156","BRD-K41845021",0.414810314742457,6,0.471047533556363,0.396856779700046,0.414810314742457
"9157","BRD-K46625537",0.414810314742457,2,0.414810314742457,0.100955055410669,0.414810314742457
"9158","BRD-K82560670",0.414880409621864,1,0.414880409621864,NA,0.414880409621864
"9159","BRD-K12249810",0.414927116411177,2,0.414927116411177,0.407713317370717,0.414927116411177
"9160","BRD-K18726304",0.414948412306084,13,0.570077343868009,0.474113329820687,0.414948412306084
"9161","BRD-K18364651",0.415100415112188,3,0.417518745739605,0.255717506275855,0.415100415112188
"9162","BRD-K24050458",0.415221241251039,1,0.415221241251039,NA,0.415221241251039
"9163","BRD-K39963927",0.415221241251039,1,0.415221241251039,NA,0.415221241251039
"9164","niguldipine",0.41528714867795,46,0.511454303649877,0.426085891159222,0.41528714867795
"9165","BRD-A84445767",0.415297180268826,4,0.389266164590572,0.550737341264696,0.415297180268826
"9166","halometasone",0.415597871896811,5,0.22733469665985,0.374673792672282,0.415597871896811
"9167","BRD-K03245321",0.415732488694802,1,0.415732488694802,NA,0.415732488694802
"9168","BJM-CSC-15",0.415905844979091,14,0.543577684699638,0.503513511250508,0.415905844979091
"9169","BRD-K92627732",0.416073320323977,1,0.416073320323977,NA,0.416073320323977
"9170","BRD-K84239628",0.416166733902602,1,0.416166733902602,NA,0.416166733902602
"9171","BRD-K16535949",0.41617556981273,5,0.328479591625954,0.246750289000562,0.41617556981273
"9172","BRD-K37226353",0.416243736138565,1,0.416243736138565,NA,0.416243736138565
